,label,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,frame_11,frame_12,frame_13,frame_14,frame_15,frame_16,frame_17,frame_18,frame_19,frame_20,frame_21,frame_22,frame_23,frame_24
10,down,-110.39936065673828,-126.02129364013672,-124.7859115600586,-124.53553009033203,-124.10740661621094,-124.29818725585938,-31.720998764038086,-28.08857536315918,-31.37315559387207,-38.8690071105957,-51.26929473876953,-57.782249450683594,-56.87517166137695,-95.58802795410156,-89.45206451416016,-91.83963775634766,-105.20218658447266,-113.83158111572266,-121.43304443359375,-122.98987579345703,-124.66637420654297,-124.50145721435547,-124.49415588378906,-124.60912322998047,-123.1214370727539
11,go,-121.11151885986328,-118.43162536621094,-121.77112579345703,-117.91522216796875,-120.0141372680664,-120.29939270019531,-121.30791473388672,-121.53129577636719,-120.86907196044922,-120.17483520507812,-122.81848907470703,-122.36915588378906,-113.1369857788086,-84.75536346435547,-80.55647277832031,-78.59247589111328,-86.38066101074219,-91.30854797363281,-98.57014465332031,-103.73345947265625,-109.41840362548828,-113.77825927734375,-119.2541732788086,-121.96137237548828,-120.5680160522461
12,stop,-93.10939025878906,-92.65280151367188,-91.6733169555664,-95.7042465209961,-94.14805603027344,-93.929443359375,-94.39874267578125,-92.72118377685547,-96.88439178466797,-91.59087371826172,-68.5317153930664,-62.4558219909668,-62.96007537841797,-60.02750015258789,-61.5877685546875,-61.43696975708008,-63.75592803955078,-72.746826171875,-87.57205200195312,-79.05668640136719,-57.440181732177734,-64.78816986083984,-70.720703125,-71.35614776611328,-69.45673370361328
13,right,-100.56481170654297,-80.19110870361328,-92.29078674316406,-83.0918197631836,-99.04981231689453,-100.21402740478516,-101.99095916748047,-102.30589294433594,-101.61112213134766,-100.42964172363281,-99.67082977294922,-101.32842254638672,-101.39935302734375,-86.14190673828125,-74.56073760986328,-67.83868408203125,-48.800682067871094,-41.6048698425293,-53.8393440246582,-80.99232482910156,-33.90812683105469,-33.688926696777344,-64.3604736328125,-93.55152130126953,-276.31024169921875
14,go,-108.94284057617188,-136.9994659423828,-116.66525268554688,-111.2879638671875,-121.3824691772461,-136.24317932128906,-152.2492218017578,-152.58837890625,-133.65310668945312,-142.8255157470703,-99.06077575683594,-53.9993782043457,-51.311466217041016,-51.005828857421875,-43.9153938293457,-41.41624069213867,-50.22958755493164,-52.24945831298828,-57.81557083129883,-68.06719970703125,-95.21964263916016,-111.19416809082031,-116.44853973388672,-126.89460754394531,-131.80087280273438
15,no,-69.9371566772461,-68.27396392822266,-69.33958435058594,-72.95052337646484,-71.91018676757812,-73.11457061767578,-70.8295669555664,-70.78707122802734,-67.36007690429688,-54.154754638671875,-46.67377471923828,-45.103721618652344,-49.51198959350586,-55.47718811035156,-62.88039779663086,-68.18736267089844,-71.7762222290039,-71.72992706298828,-71.63378143310547,-72.72703552246094,-71.5760498046875,-45.13604736328125,-276.31024169921875,-276.31024169921875,-276.31024169921875
16,stop,-276.31024169921875,-119.40538787841797,-57.93641662597656,-36.365970611572266,-105.29544067382812,-49.46097946166992,-42.850276947021484,-57.08853530883789,-103.33558654785156,-126.16072845458984,-81.0993881225586,-117.11996459960938,-128.85353088378906,-142.8418426513672,-152.05569458007812,-165.93963623046875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-161.1002960205078
17,go,-52.814002990722656,-65.02611541748047,-62.78870391845703,-72.94656372070312,-87.89051818847656,-100.54138946533203,-105.61863708496094,-109.23975372314453,-114.48784637451172,-119.04129028320312,-121.43612670898438,-121.69345092773438,-124.3671875,-125.1569595336914,-125.33313751220703,-125.4582748413086,-127.67546844482422,-125.68314361572266,-127.44694519042969,-128.77883911132812,-129.4776153564453,-132.61672973632812,-132.23680114746094,-133.3143768310547,-132.14239501953125
18,right,-159.47879028320312,-159.82518005371094,-149.12095642089844,-129.49427795410156,-120.04167938232422,-101.24481964111328,-79.42044830322266,-73.92558288574219,-82.4426498413086,-85.74916076660156,-103.25054931640625,-125.22887420654297,-135.1595001220703,-142.61805725097656,-53.55616760253906,-97.5248031616211,-126.52523803710938,-142.69357299804688,-145.1975860595703,-149.168701171875,-148.71066284179688,-149.9608612060547,-153.0781707763672,-155.66244506835938,-158.2806854248047
19,up,-142.15184020996094,-135.41928100585938,-114.4268798828125,-127.40563201904297,-135.0140380859375,-106.88983154296875,-136.317626953125,-151.2425994873047,-149.94032287597656,-150.27804565429688,-150.0386962890625,-147.7553253173828,-142.53286743164062,-71.87216186523438,-66.22276306152344,-77.84810638427734,-119.17825317382812,-148.17393493652344,-145.3599090576172,-144.06216430664062,-126.76254272460938,-144.6155548095703,-144.93504333496094,-156.23239135742188,-276.31024169921875
20,left,-123.71208190917969,-115.43659973144531,-76.49535369873047,-60.64553451538086,-71.07229614257812,-89.26742553710938,-86.7725830078125,-102.02892303466797,-79.31858825683594,-65.47281646728516,-97.76092529296875,-81.91094207763672,-60.71927261352539,-81.03907775878906,-98.897705078125,-114.29754638671875,-117.6726303100586,-118.98841857910156,-122.45772552490234,-122.30166625976562,-122.62244415283203,-123.67703247070312,-124.461181640625,-126.06336212158203,-128.4661407470703
21,right,-83.5467529296875,-83.14496612548828,-83.97256469726562,-84.55690002441406,-69.19707489013672,-83.42822265625,-83.3936996459961,-85.58415222167969,-86.52252197265625,-85.00566864013672,-84.64962768554688,-84.80386352539062,-83.7883529663086,-81.13162994384766,-75.2874526977539,-69.41889953613281,-64.71329498291016,-68.40265655517578,-72.66901397705078,-80.76625061035156,-78.49154663085938,-54.2846565246582,-55.22120666503906,-71.05440521240234,-96.07807922363281
22,left,-114.12614440917969,-109.57311248779297,-101.52460479736328,-110.63865661621094,-118.94149017333984,-146.98890686035156,-138.39637756347656,-84.45726013183594,-63.117881774902344,-43.53750991821289,-42.38395690917969,-42.14708709716797,-33.947776794433594,-31.054044723510742,-38.64253616333008,-59.10601806640625,-80.64054870605469,-87.2373046875,-83.7933349609375,-78.94630432128906,-79.88954162597656,-80.22039031982422,-83.27312469482422,-92.16812896728516,-111.5903549194336
23,silence,-141.6131134033203,-138.43238830566406,-140.72421264648438,-139.74029541015625,-132.81533813476562,-135.56199645996094,-138.2948455810547,-138.09339904785156,-142.47427368164062,-129.169677734375,-128.70970153808594,-102.81726837158203,-111.44273376464844,-118.53070068359375,-124.01341247558594,-125.51729583740234,-130.1728973388672,-128.11019897460938,-130.39859008789062,-123.30064392089844,-128.39251708984375,-134.00331115722656,-135.88612365722656,-138.75753784179688,-138.6754608154297
24,right,-100.33377075195312,-97.0119400024414,-99.9037094116211,-96.53096771240234,-94.1304931640625,-91.04817962646484,-89.80406188964844,-93.02994537353516,-76.38984680175781,-37.074241638183594,-27.153718948364258,-35.171077728271484,-22.11164665222168,-27.260997772216797,-21.645578384399414,-23.025657653808594,-43.303932189941406,-73.14070129394531,-85.91400909423828,-81.512451171875,-19.889314651489258,-73.81536865234375,-89.60847473144531,-90.49321746826172,-87.74186706542969
25,down,-163.29534912109375,-164.5660400390625,-166.3134307861328,-163.96791076660156,-164.22767639160156,-164.62393188476562,-164.2328338623047,-167.14694213867188,-165.4936065673828,-163.78001403808594,-59.26272964477539,-47.584693908691406,-39.73626708984375,-46.11101150512695,-53.95121383666992,-60.175689697265625,-73.85803985595703,-79.2978515625,-105.87352752685547,-128.1829833984375,-138.4344482421875,-150.48056030273438,-160.294921875,-164.9667510986328,-164.61097717285156
26,up,-121.87814331054688,-134.40196228027344,-135.00796508789062,-131.18753051757812,-129.09066772460938,-130.44944763183594,-134.21572875976562,-139.0462188720703,-149.01577758789062,-149.65013122558594,-276.31024169921875,-239.93307495117188,-101.29518127441406,-91.30143737792969,-85.3255386352539,-94.58137512207031,-133.1127166748047,-143.37098693847656,-174.08807373046875,-276.31024169921875,-152.76783752441406,-119.09530639648438,-124.2654800415039,-134.62916564941406,-142.37586975097656
27,down,-124.19658660888672,-123.90614318847656,-125.66584777832031,-125.4923324584961,-124.91970825195312,-126.39276885986328,-125.07630920410156,-118.77801513671875,-125.47020721435547,-125.5587158203125,-125.23267364501953,-118.18939971923828,-105.026611328125,-22.492229461669922,-23.567859649658203,-20.472984313964844,-27.47072410583496,-32.0203742980957,-28.551942825317383,-30.894874572753906,-62.03444290161133,-69.78186798095703,-90.54637145996094,-107.30300903320312,-127.9654541015625
28,down,-123.60655212402344,-122.8486557006836,-122.53495788574219,-123.28761291503906,-124.46570587158203,-121.91272735595703,-123.39933776855469,-123.53240966796875,-87.8413314819336,-89.92982482910156,-94.48468780517578,-96.44589233398438,-103.09679412841797,-108.9879379272461,-112.07211303710938,-118.30906677246094,-120.18263244628906,-121.04082489013672,-118.60135650634766,-122.66099548339844,-122.24214172363281,-124.35804748535156,-124.2572021484375,-122.95478057861328,-121.97130584716797
29,stop,-124.97242736816406,-98.09280395507812,-101.13497924804688,-104.03652954101562,-105.88915252685547,-112.14449310302734,-118.92725372314453,-124.01274108886719,-123.84962463378906,-122.06350708007812,-126.02838134765625,-125.27191925048828,-122.51834869384766,-126.67626953125,-126.47901153564453,-125.67035675048828,-125.79944610595703,-126.36322021484375,-126.25435638427734,-126.09352111816406,-127.44284057617188,-127.39830017089844,-125.17293548583984,-126.67279815673828,-126.21533966064453
30,left,-159.7892608642578,-112.99310302734375,-131.8767852783203,-141.34954833984375,-138.12814331054688,-112.10305786132812,-93.64154815673828,-70.8557357788086,-35.102413177490234,-14.173270225524902,-35.84446716308594,-60.74045181274414,-82.2171630859375,-57.5257682800293,-61.96207046508789,-87.81684112548828,-44.07501220703125,-75.7379379272461,-96.47422790527344,-107.46675109863281,-115.22612762451172,-119.19850158691406,-122.69418334960938,-126.60678100585938,-131.78163146972656
31,silence,-121.38456726074219,-126.86759948730469,-131.20860290527344,-135.30044555664062,-138.98471069335938,-140.5782012939453,-140.88796997070312,-129.51376342773438,-115.37321472167969,-117.93421173095703,-122.44210052490234,-125.71875,-126.8945541381836,-132.24745178222656,-134.45315551757812,-136.7661895751953,-138.86328125,-139.6908416748047,-141.741455078125,-141.79823303222656,-143.53787231445312,-144.04058837890625,-141.8710479736328,-141.70928955078125,-143.48448181152344
32,silence,-141.39111328125,-141.5628204345703,-140.3593292236328,-141.2804718017578,-139.54833984375,-141.1485137939453,-140.1815185546875,-140.71029663085938,-138.11734008789062,-138.14932250976562,-139.22787475585938,-139.88233947753906,-138.9123992919922,-142.13510131835938,-141.33041381835938,-138.45443725585938,-140.70481872558594,-143.47662353515625,-139.11830139160156,-138.2980499267578,-139.5215301513672,-139.09629821777344,-141.3777313232422,-138.449462890625,-140.0372314453125
33,left,-105.06693267822266,-107.58106994628906,-103.51801300048828,-105.70267486572266,-109.86396026611328,-108.7923812866211,-110.24819946289062,-108.01063537597656,-109.4554214477539,-106.27899932861328,-94.90045166015625,-99.08761596679688,-110.78105163574219,-98.15914916992188,-58.148712158203125,-38.92923355102539,-45.46976089477539,-51.6079216003418,-98.85655212402344,-108.39987182617188,-109.9761734008789,-91.43455505371094,-111.14273071289062,-47.67356491088867,-71.36202239990234
34,no,-69.31890106201172,-71.84161376953125,-72.3750991821289,-71.64476013183594,-73.24457550048828,-71.9578628540039,-69.59333038330078,-67.31640625,-67.0002212524414,-68.07869720458984,-32.3659782409668,-22.929759979248047,-12.177250862121582,-21.429298400878906,-30.618410110473633,-44.30157470703125,-53.50400924682617,-61.547027587890625,-64.33333587646484,-67.01862335205078,-67.23544311523438,-68.13436126708984,-70.27658081054688,-74.27074432373047,-72.37606811523438
35,no,-78.08796691894531,-77.43144226074219,-75.43351745605469,-70.5610580444336,-71.82300567626953,-66.99748992919922,-16.85288429260254,-14.368931770324707,-9.139516830444336,-20.313270568847656,-21.091758728027344,-35.36344528198242,-39.16187286376953,-54.65068817138672,-64.50578308105469,-68.151611328125,-66.81458282470703,-68.41797637939453,-70.2170181274414,-74.39247131347656,-73.4171371459961,-74.06061553955078,-75.96934509277344,-76.95574188232422,-78.33256530761719
36,yes,-90.42288208007812,-89.05142974853516,-91.38557434082031,-88.8333740234375,-90.80662536621094,-90.18534088134766,-89.30860137939453,-92.25588989257812,-78.50469970703125,-56.903263092041016,-55.0256233215332,-54.03346633911133,-53.6781120300293,-66.56710815429688,-77.36751556396484,-59.16465377807617,-65.06214141845703,-67.0938720703125,-67.50367736816406,-81.8913803100586,-89.52606201171875,-89.41455841064453,-88.70292663574219,-90.41861724853516,-90.32213592529297
37,stop,-67.20442199707031,-58.506996154785156,-51.71205520629883,-48.73257827758789,-92.40446472167969,-53.18318176269531,-48.957027435302734,-55.14929962158203,-56.92446517944336,-55.68967056274414,-57.68902587890625,-81.39342498779297,-118.88855743408203,-107.55341339111328,-123.07588958740234,-134.70904541015625,-138.1873779296875,-137.95556640625,-138.63331604003906,-138.8858642578125,-140.6194305419922,-139.00596618652344,-138.5044708251953,-138.93438720703125,-139.91258239746094
38,no,-169.0515899658203,-183.0050048828125,-170.77151489257812,-173.67410278320312,-170.5567626953125,-154.1072998046875,-137.1388397216797,-131.67364501953125,-49.08551788330078,-39.769996643066406,-43.06542205810547,-58.975276947021484,-66.57759857177734,-80.65310668945312,-96.98174285888672,-114.48439025878906,-116.55470275878906,-132.2337646484375,-140.37875366210938,-146.4094696044922,-154.1529541015625,-155.65599060058594,-155.78492736816406,-164.23960876464844,-162.14218139648438
39,up,-140.38475036621094,-140.69677734375,-132.32037353515625,-139.11859130859375,-141.17086791992188,-142.85923767089844,-138.34461975097656,-138.41513061523438,-137.46160888671875,-83.17586517333984,-64.07140350341797,-65.58365631103516,-94.81778717041016,-112.44324493408203,-123.81118774414062,-139.49063110351562,-112.06369018554688,-80.33197021484375,-79.20348358154297,-92.42536926269531,-105.74324798583984,-118.96392822265625,-128.263427734375,-138.15988159179688,-137.5381317138672
40,down,-127.4285659790039,-137.4435577392578,-134.05264282226562,-120.53807830810547,-110.29239654541016,-121.50578308105469,-142.00083923339844,-152.75103759765625,-154.74200439453125,-154.24893188476562,-139.31552124023438,-135.3690643310547,-37.15370178222656,-39.301570892333984,-52.37158203125,-54.797550201416016,-58.30396270751953,-67.77998352050781,-81.49352264404297,-90.41275024414062,-103.41930389404297,-120.01398468017578,-128.97779846191406,-137.1419677734375,-147.002197265625
41,silence,-143.1233673095703,-140.97093200683594,-142.73435974121094,-142.8616180419922,-143.1475067138672,-143.99649047851562,-145.03468322753906,-143.02371215820312,-142.64935302734375,-142.0742950439453,-142.88369750976562,-142.39474487304688,-144.69561767578125,-143.3815155029297,-142.29550170898438,-142.28079223632812,-141.82713317871094,-142.08407592773438,-142.8380584716797,-142.27890014648438,-141.9861297607422,-143.68609619140625,-143.0860137939453,-142.23016357421875,-142.6772003173828
42,right,-136.82110595703125,-119.2103271484375,-100.06079864501953,-102.24873352050781,-109.66400146484375,-124.26080322265625,-131.009765625,-135.770751953125,-138.8762969970703,-129.12562561035156,-78.3472900390625,-43.694915771484375,-41.52650451660156,-35.800559997558594,-36.74496841430664,-65.78881072998047,-100.86589813232422,-117.26134490966797,-131.6532440185547,-128.86790466308594,-124.91358947753906,-130.5152130126953,-135.21194458007812,-136.32630920410156,-138.28604125976562
43,right,-96.45611572265625,-73.29076385498047,-64.73612976074219,-68.31277465820312,-73.96503448486328,-76.59139251708984,-76.84259033203125,-65.01470947265625,-56.5677375793457,-32.76573181152344,-22.07784652709961,-32.26485061645508,-31.981576919555664,-41.519195556640625,-47.7679443359375,-64.77841186523438,-10.200255393981934,-15.695374488830566,-41.541664123535156,-59.9216194152832,-83.56380462646484,-100.13609313964844,-104.01585388183594,-111.15870666503906,-111.42404174804688
44,up,-104.3363037109375,-106.85684204101562,-105.57074737548828,-107.82781982421875,-105.52084350585938,-105.73159790039062,-107.42892456054688,-104.69993591308594,-104.40100860595703,-104.27555847167969,-103.32341766357422,-96.71556854248047,-92.71595001220703,-73.42922973632812,-107.10953521728516,-104.27188873291016,-104.76329040527344,-105.97294616699219,-105.79358673095703,-106.211181640625,-77.65478515625,-105.6761474609375,-102.87843322753906,-107.9636001586914,-104.52374267578125
45,yes,-61.75642395019531,-59.31952667236328,-61.532474517822266,-62.50481414794922,-64.6268310546875,-60.875457763671875,-63.13508987426758,-49.930076599121094,-43.866371154785156,-39.345821380615234,-41.0718994140625,-23.250856399536133,-22.067005157470703,-18.61001968383789,-23.38334846496582,-29.160722732543945,-32.320228576660156,-48.28158950805664,-58.472450256347656,-63.26591873168945,-62.80823516845703,-62.53965377807617,-63.90922546386719,-63.5318717956543,-62.870399475097656
46,no,-121.43987274169922,-107.711669921875,-98.83512878417969,-78.22008514404297,-49.75504684448242,-55.8988037109375,-69.22624206542969,-85.83001708984375,-100.6994400024414,-107.51049041748047,-113.04069519042969,-115.55242156982422,-117.63768005371094,-117.5747299194336,-118.96810150146484,-119.34119415283203,-118.9441909790039,-118.6087875366211,-119.14164733886719,-120.48216247558594,-121.40819549560547,-122.2421646118164,-121.23735809326172,-122.34922790527344,-120.42967224121094
47,up,-172.66656494140625,-133.04891967773438,-144.5595245361328,-147.9358673095703,-165.78976440429688,-165.06085205078125,-166.5391845703125,-168.3839874267578,-175.01318359375,-63.07414627075195,-44.16150665283203,-42.9726676940918,-36.58660888671875,-78.34862518310547,-107.25922393798828,-126.45365142822266,-96.35160064697266,-126.59580993652344,-143.56695556640625,-146.82603454589844,-148.56439208984375,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875
48,left,-114.63162994384766,-116.29316711425781,-120.93306732177734,-127.79583740234375,-131.26829528808594,-130.18154907226562,-89.80614471435547,-78.30328369140625,-63.33106231689453,-57.69116973876953,-59.429317474365234,-61.41964340209961,-82.74980163574219,-71.41600036621094,-69.51239776611328,-59.58521270751953,-101.80094909667969,-108.76679229736328,-81.96894836425781,-109.7968521118164,-122.58766174316406,-127.37044525146484,-128.3267822265625,-127.8915023803711,-129.44747924804688
49,left,-99.298095703125,-98.29467010498047,-58.2213249206543,-97.87745666503906,-54.72537612915039,-33.94328689575195,-22.93109130859375,-40.532264709472656,-87.9352035522461,-92.85074615478516,-102.8046875,-38.372169494628906,-51.529258728027344,-84.08129119873047,-99.12420654296875,-81.01644134521484,-90.8937759399414,-92.74063110351562,-99.97564697265625,-101.18126678466797,-97.52776336669922,-98.58199310302734,-99.16785430908203,-102.42054748535156,-105.66362762451172
50,stop,-142.15528869628906,-147.18380737304688,-146.92454528808594,-77.94485473632812,-50.76811599731445,-49.0804557800293,-78.85474395751953,-70.50299072265625,-49.69843673706055,-59.177101135253906,-67.02008819580078,-67.21669006347656,-83.11260986328125,-119.59905242919922,-138.97357177734375,-82.54972076416016,-88.22545623779297,-143.16046142578125,-147.46725463867188,-145.68223571777344,-145.34031677246094,-145.91778564453125,-146.98452758789062,-147.70201110839844,-148.1101531982422
51,go,-107.14932250976562,-113.14898681640625,-116.13451385498047,-110.31285095214844,-107.79743194580078,-112.38243865966797,-117.00582885742188,-122.12722778320312,-123.52783966064453,-126.36891174316406,-123.2216567993164,-125.8188247680664,-128.38052368164062,-82.075927734375,-65.21786499023438,-62.46549987792969,-63.879180908203125,-70.41252899169922,-75.86681365966797,-79.45207977294922,-86.88396453857422,-89.14583587646484,-88.91578674316406,-93.11019897460938,-103.28125
52,up,-132.17489624023438,-143.1245574951172,-142.86387634277344,-142.09683227539062,-141.58319091796875,-143.51402282714844,-147.65675354003906,-144.69053649902344,-137.06385803222656,-88.64154815673828,-76.55879211425781,-79.36750030517578,-79.94197845458984,-108.90914916992188,-130.92784118652344,-133.26641845703125,-134.661865234375,-109.32540130615234,-113.92438507080078,-127.68606567382812,-143.0542755126953,-141.733642578125,-143.15628051757812,-142.63980102539062,-144.5280303955078
53,no,-130.28665161132812,-130.9179229736328,-133.4056854248047,-132.0210418701172,-131.43368530273438,-129.71351623535156,-128.20111083984375,-128.7247314453125,-130.9208984375,-131.3852081298828,-131.3585968017578,-131.38356018066406,-131.5048370361328,-128.40432739257812,-132.6995849609375,-129.00411987304688,-131.7541961669922,-130.3531494140625,-134.01007080078125,-134.67599487304688,-129.59861755371094,-129.9816131591797,-128.23291015625,-129.95652770996094,-132.15811157226562
54,yes,-92.63101196289062,-133.0723419189453,-150.71713256835938,-138.06617736816406,-87.27701568603516,-35.84315872192383,-34.93611145019531,-38.019859313964844,-31.183204650878906,-24.649381637573242,-33.137245178222656,-38.76118850708008,-39.299522399902344,-45.68764877319336,-48.12108612060547,-41.419925689697266,-51.54691696166992,-76.99431610107422,-103.45909118652344,-120.3697280883789,-123.91056060791016,-128.84466552734375,-129.54446411132812,-136.94894409179688,-139.85113525390625
55,down,-102.48583221435547,-107.21636199951172,-114.94941711425781,-115.88579559326172,-115.82291412353516,-115.88587951660156,-113.30431365966797,-98.6302261352539,-23.83590316772461,-22.95803451538086,-30.885656356811523,-34.38538360595703,-39.07192611694336,-45.19569396972656,-47.86475372314453,-64.43966674804688,-70.38318634033203,-59.67658996582031,-77.76312255859375,-90.87432098388672,-99.84949493408203,-105.05614471435547,-114.46305847167969,-112.50147247314453,-109.7470932006836
56,right,-135.4861602783203,-136.02732849121094,-138.06056213378906,-142.9880828857422,-143.55799865722656,-141.3195343017578,-141.063720703125,-138.6823272705078,-139.83392333984375,-136.26486206054688,-133.23231506347656,-136.2694091796875,-116.83775329589844,-97.58826446533203,-72.52021026611328,-61.879154205322266,-64.93683624267578,-71.34286499023438,-84.38636779785156,-96.4480209350586,-99.9782485961914,-107.19789123535156,-113.42903900146484,-118.48353576660156,-123.98443603515625
57,go,-126.66130065917969,-139.8957977294922,-139.55885314941406,-128.25796508789062,-139.06222534179688,-136.68585205078125,-140.60585021972656,-139.0072479248047,-139.75833129882812,-89.20449829101562,-75.8019790649414,-74.18865966796875,-78.02794647216797,-90.39318084716797,-115.35240173339844,-120.21834564208984,-121.12943267822266,-127.37960052490234,-134.8737335205078,-137.4712371826172,-167.97520446777344,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875
58,down,-117.30560302734375,-104.86894226074219,-115.01411437988281,-115.63653564453125,-104.39627075195312,-115.44357299804688,-106.05882263183594,-42.275882720947266,-37.736019134521484,-43.116302490234375,-50.367305755615234,-55.5804557800293,-75.6495132446289,-84.23490905761719,-91.4693832397461,-99.91468048095703,-105.8530502319336,-110.29530334472656,-117.62518310546875,-119.34939575195312,-118.73265838623047,-121.61404418945312,-120.35160064697266,-109.32645416259766,-122.48846435546875
59,go,-112.01537322998047,-112.3622817993164,-82.33885955810547,-68.9828109741211,-60.808162689208984,-71.61067962646484,-80.12043762207031,-90.02181243896484,-94.09026336669922,-99.96070098876953,-101.2373046875,-108.07757568359375,-108.50131225585938,-112.79125213623047,-107.95218658447266,-120.79435729980469,-121.4306869506836,-122.29417419433594,-120.4247817993164,-111.18624877929688,-123.21822357177734,-121.6628189086914,-117.82202911376953,-122.04793548583984,-118.62210083007812
